date,tick,target,entry,stop,rate,entry_strategy,stop_strategy,trail_strategy,risk,reward,rrr
2020-12-02,SE,212.52,181.38,174.61,25,0,1,1.0,3.73,17.17,4.6
2020-12-02,GRBK,26.9,21.74,20.85,19,0,0,0.0,4.09,23.74,5.8
2020-12-02,AES,22.77,20.66,20.27,13,0,0,0.0,1.89,10.21,5.4
2020-12-02,MSFT,225.67,214.75,212.8,12,1,0,0.0,0.91,5.08,5.58
2020-12-02,BLL,103.15,94.94,93.42,12,1,0,0.0,1.6,8.65,5.41
2020-12-03,JD,97.83,87.04,85.18,24,0,0,0.0,2.14,12.4,5.79
2020-12-03,MSI,189.82,172.53,168.6,18,1,1,1.0,2.28,10.02,4.39
2020-12-03,IP,54.49,48.99,47.89,12,0,0,0.0,2.25,11.23,4.99
2020-12-03,TCOM,37.96,34.13,33.47,12,0,1,1.0,1.93,11.22,5.81
2020-12-04,JD,91.33,85.59,84.6,23,0,0,0.0,1.16,6.71,5.78
2020-12-04,MSI,178.84,171.23,169.5,18,1,1,1.0,1.01,4.44,4.4
2020-12-04,IP,51.36,48.61,48.06,12,0,0,0.0,1.13,5.66,5.01
2020-12-04,BLL,103.29,94.41,92.77,12,1,0,0.0,1.74,9.41,5.41
2020-12-04,ROK,265.2,249.43,245.28,11,0,1,1.0,1.66,6.32,3.81
2020-12-04,BF.B,81.67,79.29,78.85,11,0,1,1.0,0.55,3.0,5.45
2020-12-07,EL,282.34,246.7,242.01,18,1,0,0.0,1.9,14.45,7.61
2020-12-07,DKNG,50.91,48.45,47.63,13,0,1,1.0,1.69,5.08,3.01
2020-12-07,AES,22.69,20.96,20.64,12,0,0,,1.53,8.25,5.39
2020-12-08,WMT,156.62,148.39,147.18,20,0,0,0.0,0.82,5.55,6.77
2020-12-08,LILAK,13.52,11.49,11.23,20,1,1,1.0,2.26,17.67,7.82
2020-12-08,COUP,386.22,313.2,300.61,19,1,1,1.0,4.02,23.31,5.8
2020-12-08,MSI,181.68,170.81,168.34,18,1,1,1.0,1.45,6.36,4.39
2020-12-09,UNH,362.65,346.87,341.61,21,1,0,0.0,1.52,4.55,2.99
2020-12-09,WMT,154.68,148.76,147.89,20,0,0,0.0,0.58,3.98,6.86
2020-12-09,AVTR,26.95,26.41,26.23,19,1,0,0.0,0.68,2.04,3.0
2020-12-10,NOW,619.14,535.86,518.51,20,0,1,1.0,3.24,15.54,4.8
2020-12-10,AVTR,29.29,27.1,26.37,19,1,0,0.0,2.69,8.08,3.0
2020-12-10,COUP,442.11,317.15,301.53,19,1,1,1.0,4.93,39.4,7.99
2020-12-10,STNE,106.36,73.8,69.73,19,0,1,1.0,5.51,44.12,8.01
2020-12-28,PINS,81.5,68.3,66.65,17,1,1,1.0,2.42,19.33,7.99
2020-12-28,TEAM,263.72,234.31,230.54,15,1,1,1.0,1.61,12.55,7.8
2020-12-28,SPOT,359.11,320.79,316.0,15,0,0,0.0,1.49,11.95,8.02
2020-12-28,FTCH,95.12,62.72,58.22,14,1,1,1.0,7.17,51.66,7.21
2020-12-28,STX,70.38,63.14,62.19,13,0,1,1.0,1.5,11.47,7.65
2020-12-29,SE,216.57,189.47,183.31,26,0,1,1.0,3.25,14.3,4.4
2020-12-29,MU,80.12,70.36,69.14,22,0,1,1.0,1.73,13.87,8.02
